"n_captures","n_fetch_success","n_redirects","crawl","redirects"
"805","399","265","CC-MAIN-2023-40","3"
"162","76","70","CC-MAIN-2023-40","4"
"84","41","37","CC-MAIN-2023-40","5"
"1018455","475464","334009","CC-MAIN-2023-50","0"
"209489","143989","37112","CC-MAIN-2023-50","1"
"24367","15074","5043","CC-MAIN-2023-50","2"
"2014","618","1078","CC-MAIN-2023-50","3"
"607","185","370","CC-MAIN-2023-50","4"
"249","56","179","CC-MAIN-2023-50","5"
"1029607","487541","322468","CC-MAIN-2024-10","0"
"345024","222314","73546","CC-MAIN-2024-10","1"
"51515","29232","13453","CC-MAIN-2024-10","2"
"5522","1902","2806","CC-MAIN-2024-10","3"
"1820","627","991","CC-MAIN-2024-10","4"
"799","244","485","CC-MAIN-2024-10","5"
"966000","480105","290734","CC-MAIN-2024-18","0"
"333939","214493","71410","CC-MAIN-2024-18","1"
"50878","28868","13438","CC-MAIN-2024-18","2"
"5611","1995","2819","CC-MAIN-2024-18","3"
"1800","612","1016","CC-MAIN-2024-18","4"
"849","217","565","CC-MAIN-2024-18","5"
"974713","462090","308616","CC-MAIN-2024-22","0"
"248646","164218","49086","CC-MAIN-2024-22","1"
"32843","19291","7900","CC-MAIN-2024-22","2"
"2919","885","1590","CC-MAIN-2024-22","3"
"872","250","541","CC-MAIN-2024-22","4"
"373","71","274","CC-MAIN-2024-22","5"
"968837","467293","296591","CC-MAIN-2024-26","0"
"331593","211501","71674","CC-MAIN-2024-26","1"
"51400","28867","13817","CC-MAIN-2024-26","2"
"5786","1955","3059","CC-MAIN-2024-26","3"
"1864","563","1131","CC-MAIN-2024-26","4"
"890","232","594","CC-MAIN-2024-26","5"
"968104","473532","289039","CC-MAIN-2024-30","0"
"336787","215338","71350","CC-MAIN-2024-30","1"
"51662","28570","14028","CC-MAIN-2024-30","2"
"6110","1973","3310","CC-MAIN-2024-30","3"
"2151","598","1370","CC-MAIN-2024-30","4"
"1081","234","780","CC-MAIN-2024-30","5"
"926955","459297","268844","CC-MAIN-2024-33","0"
"335579","214961","69536","CC-MAIN-2024-33","1"
"51592","28330","14083","CC-MAIN-2024-33","2"
"6395","2016","3517","CC-MAIN-2024-33","3"
"2323","622","1487","CC-MAIN-2024-33","4"
"1200","251","862","CC-MAIN-2024-33","5"
"917737","440704","278471","CC-MAIN-2024-38","0"
"246965","164479","46661","CC-MAIN-2024-38","1"
"31807","18216","7915","CC-MAIN-2024-38","2"
"3161","865","1850","CC-MAIN-2024-38","3"
"1141","239","808","CC-MAIN-2024-38","4"
"581","75","473","CC-MAIN-2024-38","5"
"911627","438374","281152","CC-MAIN-2024-42","0"
"340236","216132","72848","CC-MAIN-2024-42","1"
"53263","28677","15217","CC-MAIN-2024-42","2"
"7032","2090","3994","CC-MAIN-2024-42","3"
"2722","635","1846","CC-MAIN-2024-42","4"
"1457","265","1100","CC-MAIN-2024-42","5"
"890426","429475","268462","CC-MAIN-2024-46","0"
"339093","215222","72000","CC-MAIN-2024-46","1"
"53880","28766","15662","CC-MAIN-2024-46","2"
"7540","2142","4425","CC-MAIN-2024-46","3"
"2997","650","2081","CC-MAIN-2024-46","4"
"1688","290","1284","CC-MAIN-2024-46","5"
"898395","433569","268011","CC-MAIN-2024-51","0"
"340449","214813","72805","CC-MAIN-2024-51","1"
"54794","28958","16108","CC-MAIN-2024-51","2"
"8070","2249","4759","CC-MAIN-2024-51","3"
"3268","682","2305","CC-MAIN-2024-51","4"
"1823","297","1407","CC-MAIN-2024-51","5"
"925873","433646","287704","CC-MAIN-2025-05","0"
"134831","95574","22101","CC-MAIN-2025-05","1"
"14283","8179","3762","CC-MAIN-2025-05","2"
"1955","371","1336","CC-MAIN-2025-05","3"
"892","137","699","CC-MAIN-2025-05","4"
"515","44","456","CC-MAIN-2025-05","5"
"985287","448644","309692","CC-MAIN-2025-08","0"
"115338","79921","20701","CC-MAIN-2025-08","1"
"11994","6733","3252","CC-MAIN-2025-08","2"
"1647","333","1132","CC-MAIN-2025-08","3"
"747","102","597","CC-MAIN-2025-08","4"
"447","46","384","CC-MAIN-2025-08","5"
